FFFFFFFF	VMM
00010000	Get_VMM_Version
00010001	Get_Cur_VM_Handle
00010002	Test_Cur_VM_Handle
00010003	Get_Sys_VM_Handle
00010004	Test_Sys_VM_Handle
00010005	Validate_VM_Handle
00010006	Get_VMM_Reenter_Count
00010007	Begin_Reentrant_Execution
00010008	End_Reentrant_Execution
00010009	Install_V86_Break_Point
0001000A	Remove_V86_Break_Point
0001000B	Allocate_V86_Call_Back
0001000C	Allocate_PM_Call_Back
0001000D	Call_When_VM_Returns
0001000E	Schedule_Global_Event
0001000F	Schedule_VM_Event
00010010	Call_Global_Event
00010011	Call_VM_Event
00010012	Cancel_Global_Event
00010013	Cancel_VM_Event
00010014	Call_Priority_VM_Event
00010015	Cancel_Priority_VM_Event
00010016	Get_NMI_Handler_Addr
00010017	Set_NMI_Handler_Addr
00010018	Hook_NMI_Event
00010019	Call_When_VM_Ints_Enabled
0001001A	Enable_VM_Ints
0001001B	Disable_VM_Ints
0001001C	Map_Flat
0001001D	Map_Lin_To_VM_Addr
0001001E	Adjust_Exec_Priority
0001001F	Begin_Critical_Section
00010020	End_Critical_Section
00010021	End_Crit_And_Suspend
00010022	Claim_Critical_Section
00010023	Release_Critical_Section
00010024	Call_When_Not_Critical
00010025	Create_Semaphore
00010026	Destroy_Semaphore
00010027	Wait_Semaphore
00010028	Signal_Semaphore
00010029	Get_Crit_Section_Status
0001002A	Call_When_Task_Switched
0001002B	Suspend_VM
0001002C	Resume_VM
0001002D	No_Fail_Resume_VM
0001002E	Nuke_VM
0001002F	Crash_Cur_VM
00010030	Get_Execution_Focus
00010031	Set_Execution_Focus
00010032	Get_Time_Slice_Priority
00010033	Set_Time_Slice_Priority
00010034	Get_Time_Slice_Granularity
00010035	Set_Time_Slice_Granularity
00010036	Get_Time_Slice_Info
00010037	Adjust_Execution_Time
00010038	Release_Time_Slice
00010039	Wake_Up_VM
0001003A	Call_When_Idle
0001003B	Get_Next_VM_Handle
0001003C	Set_Global_Time_Out
0001003D	Set_VM_Time_Out
0001003E	Cancel_Time_Out
0001003F	Get_System_Time
00010040	Get_VM_Exec_Time
00010041	Hook_V86_Int_Chain
00010042	Get_V86_Int_Vector
00010043	Set_V86_Int_Vector
00010044	Get_PM_Int_Vector
00010045	Set_PM_Int_Vector
00010046	Simulate_Int
00010047	Simulate_Iret
00010048	Simulate_Far_Call
00010049	Simulate_Far_Jmp
0001004A	Simulate_Far_Ret
0001004B	Simulate_Far_Ret_N
0001004C	Build_Int_Stack_Frame
0001004D	Simulate_Push
0001004E	Simulate_Pop
0001004F	_HeapAllocate
00010050	_HeapReAllocate
00010051	_HeapFree
00010052	_HeapGetSize
00010053	_PageAllocate
00010054	_PageReAllocate
00010055	_PageFree
00010056	_PageLock
00010057	_PageUnLock
00010058	_PageGetSizeAddr
00010059	_PageGetAllocInfo
0001005A	_GetFreePageCount
0001005B	_GetSysPageCount
0001005C	_GetVMPgCount
0001005D	_MapIntoV86
0001005E	_PhysIntoV86
0001005F	_TestGlobalV86Mem
00010060	_ModifyPageBits
00010061	_CopyPageTable
00010062	_LinMapIntoV86
00010063	_LinPageLock
00010064	_LinPageUnLock
00010065	_SetResetV86Pageable
00010066	_GetV86PageableArray
00010067	_PageCheckLinRange
00010068	_PageOutDirtyPages
00010069	_PageDiscardPages
0001006A	_GetNulPageHandle
0001006B	_GetFirstV86Page
0001006C	_MapPhysToLinear
0001006D	_GetAppFlatDSAlias
0001006E	_SelectorMapFlat
0001006F	_GetDemandPageInfo
00010070	_GetSetPageOutCount
00010071	Hook_V86_Page
00010072	_Assign_Device_V86_Pages
00010073	_DeAssign_Device_V86_Pages
00010074	_Get_Device_V86_Pages_Array
00010075	MMGR_SetNULPageAddr
00010076	_Allocate_GDT_Selector
00010077	_Free_GDT_Selector
00010078	_Allocate_LDT_Selector
00010079	_Free_LDT_Selector
0001007A	_BuildDescriptorDWORDs
0001007B	_GetDescriptor
0001007C	_SetDescriptor
0001007D	_MMGR_Toggle_HMA
